wav_file,label,transcription
Ses01F_script03_1_M003,3, breathing 
Ses05F_script03_1_M006,3,oh what shall we do if they suddenly walk in on us ?
Ses05F_impro07_M005,1,are you going to live on campus ? where are you going to live ?
Ses02M_script03_1_M003,3,we re all right darling aren t we whatever happens ?
Ses05M_impro04_M027,2,thank you . ha ha .
Ses03F_impro02_F010,2,yeah .
Ses04F_script03_2_F036,0,go away go away . i hate you .
Ses05M_impro08_M016,5,okay ? can you tell me what that says ?
Ses04M_impro08_F025,4,really ?
Ses05F_impro04_F043,5,yeah .
Ses03F_impro02_M004,4,when ?
Ses05M_script01_1_M015,2,all right . all right mom . just listen . you know why i invited annie her don t you ?
Ses03F_script01_1_M042,5,i ll get out . i ll marry her somewhere else . maybe new york .
Ses05M_script03_2_F005,5,well what of it .
Ses01F_script02_2_F037,4,don t be ridiculous . anything that anything i am doing i d rather be doing it with you .
Ses03F_script01_2_F004,0,it s got that about it .
Ses01M_script03_1_F002,3,what we re going to do ?
Ses04M_impro02_M006,2,i ve made a pledge . i can t not do this at this point .
Ses05F_script02_1_F002,2,it s not your flashlight .
Ses03F_script02_1_M018,4,what ? are you kidding me ? we just got here . we d miss it . what s the point of coming down there if we just turn around and go home ?
Ses04M_impro04_F010,4,excuse me ?
Ses01M_script03_1_M000,3,good god .
Ses02M_impro07_F022,1,i know . it s so cool .
Ses01F_impro07_F002,1,i m really excited . yeah . i don t know how i m going to pay for anything but . . . i also yeah . loans too yeah . i applied though for a bunch of grants and scholarships so i m still waiting to hear on that .
Ses05F_impro04_F041,5,bartending catering .
Ses04F_impro07_M049,1,good . alright we re so happy .
Ses04F_script01_3_M045,2,i guess that included you .
Ses01F_impro03_F025,1,we renamed brenda lumber janet .
Ses04M_script02_2_F022,2,no .
Ses04M_script03_2_F016,2,it seems so silly to go on and on and on with such a thing .
Ses03F_script01_1_F038,2,no i don t want a diagram .
Ses01F_script03_1_M002,3,it must be them then .
Ses02F_impro05_F022,2,thank you very much .
Ses04F_script01_3_M040,2,because nobody was changed at all . it seemed to make suckers out of a lot of guys .
Ses05M_impro02_F015,3,are you gonna be like in tanks running around ? what i mean what does that mean ?
Ses03F_script02_2_F027,2,no .
Ses03M_impro02_F004,4,where ? who ? what are you talking about ?
Ses05M_impro03_F009,1,no it s totally original though .
Ses04M_impro04_M006,2,yeah i do . i do . you don t understand .
Ses04M_impro07_M025,5,ouch . that s um oh wow .
Ses01F_script03_1_F002,3,it had to happen sooner or later . what are we going to do ?
Ses02M_impro03_F017,1,oh my gosh that s so cute .
Ses05F_script02_1_M033,1,they are swimming right now as if it s the only thing that matters . it s it s single mindedness with no mind urgency that s pure urge . it s they don t know what drives them . they they don t give any name or ask any question . they just turn as one and started to swim to the very point we are standing right now for a massive celebration of sex and death . god it s giving me goose bumps all over my hairs on my arm . popping up .
Ses03M_script02_1_F009,2,that s my point .
Ses04M_impro07_M041,5,i need to get like a just a small little gun just cause or like a taser or something or just like a butterfly knife
Ses03F_impro06_F031,2,yeah . god i loved that kid .
Ses01F_script03_1_F001,3,freda is the only one who knows we are here . she wouldn t ring up .
Ses03F_impro06_F034,2,i never told him i love you but 
Ses02F_script03_1_F001,3,well nobody know we re here except freda and she wouldn t ring up .
Ses05M_script01_1_F012,2,how are you gonna prove it ? can you prove it ?
Ses05F_impro05_F039,2,uh because you guys lost it so it should be your responsibility to find it too .
Ses05M_impro08_F005,5,uh yeah . we ve pinned it a couple of times .
Ses05F_impro03_F035,1,thank you .
Ses05M_script02_2_M033,4,really ?
Ses01M_script03_1_M001,3,i wonder .
Ses04F_impro03_M032,5,okay . that sounds good . um and uh we re going to get like a five uh story cake right ?
Ses01F_script01_2_M014,2,okay . calm yourself .
Ses04F_impro07_M001,1,what ?
Ses04F_impro03_F011,1,so pretty .
Ses01F_impro05_F012,0,are there candid cameras ? is this that movie ? there s that show right ? airplane airline .
Ses04M_script03_1_M002,3,it must be them then .
Ses05M_script01_1_F031,4,what the hell is this ?
Ses02F_impro03_M025,1,oh yes . this is the whole garbage 
Ses03F_script02_2_M037,4,yeah ?
Ses02F_impro04_F009,2,i feel so worthless .
Ses03M_impro05a_F004,2,alright . and you re coming wait hold on sir . you re coming from baltimore into lax right ?
Ses04F_impro01_M024,0,i work in this fucking building all day . and i m sick of it okay ?
Ses04M_script03_2_F040,0,very well if you insist on being boorish and idiotic .
Ses05M_impro02_F017,3,but so many people have died .
Ses04M_impro04_M000,2,oh man i just i don t know what to do . i don t know what to do . it s like every job you know i go to every job i apply to 
Ses01F_impro06_M002,5, . . .pick up anything ?
Ses01F_impro06_M011,5,you ran through the sprinklers in the cemetery ?
Ses03F_impro05_M000,2,i m sorry mrs . rosenkrantz but uh i don t know what to tell you .
Ses05F_impro06_M003,2,i am so sorry it s 
Ses04F_script03_1_F011,1,don t laugh at me . i m serious .
Ses03F_impro07_M033,5,well get used to it .
Ses04M_script03_2_F041,0,go away . go away . i hate you .
Ses01M_impro04_F021,5,you have an excuse for everything .
Ses02M_script03_1_M003,3,we re all right darling aren t we whatever happens ?
Ses04M_impro05_F016,2,i m very sorry .
Ses04M_impro05_M040,2,just all i need you to do is just fill out three forms and i ll leave you alone forever forever . i ll never we ll never see each other again .
Ses01M_impro07_F033,1,you re like the rookie ? the new kid .
Ses05M_script03_1_F000,3,do you think it s them ?
Ses05M_impro03_M030,1,oh yeah yeah yeah yeah i mean actually we lived together awhile back when we yeah back in college for a little while . yeah .
Ses04F_script03_1_M001,3,i wonder .
Ses05M_impro05_M004,5,i was coming from um the midwest like iowa .
Ses03F_script02_2_M031,2,yes it is .
Ses05M_script03_1_F000,3,do you think it s them ?
Ses01F_script03_2_F023,0,mind your own business .
Ses01F_script03_2_M016,5,you going out somewhere dear ?
Ses05F_script02_1_M020,1,yeah but that moment on the beach is the highlight of their little lives all that flopping around is laying eggs or what you mating or spawning or something like that .
Ses05F_script03_2_F032,0,turn it on again .
Ses01M_impro05_F020,5,it s not . i can offer you fifty dollars and a reimbursement gift cards for our airline . . .
Ses02F_impro03_F011,1, cause cause he was with me . you didn t do it did you ?
Ses03F_impro02_F019,2,but it it is for a year .
Ses02M_impro08_M019,5,uh i mean have you been shopping around on the internet and stuff ? i mean that you gave 
Ses04M_script01_3_M031,2,a kind of responsibility . man for man . you understand me ? and then i went home and it was incredible .
Ses01M_script02_1_M023,5,that s my point too .
Ses05M_impro02_F008,4,what ?
Ses04M_impro01_F002,5,okay . this is the wrong form . i m sorry .
Ses04M_script01_1_F028,5,the trouble is you don t see enough women . you never did .
Ses05F_script02_2_F013,2,augie do you remember the first time we came to see it ? it was about four years ago right after we got married and we thought i was pregnant .
Ses04M_impro04_F003,5,right but you have i mean you have to keep on them . you have to keep calling and reminding them that you re still looking and
Ses05M_script01_3_M018,4,i kissed you .
Ses04M_script03_2_M018,2,you can hardly call three liquor glasses in a whole evening going on and on and on .
Ses05M_impro06_M003,2,yeah . it s just i never thought it would actually happen you know ? i mean he s such a fighter and he s always so positive about everything .
Ses01M_impro07_F007,1,that is incredible . do you get like a per diem ?
Ses03F_impro01_F005,2,excuse me ? no no . i waited in the line over there . .
Ses04M_impro01_M016,2,that s all i i just that s all i want you to 
Ses01M_impro06_M030,2,like i can t . . .it s like you know it s like pinch me it s like i can t believe like i m dealing with this you know .
Ses01M_script01_1_M003,2,i don t know . but he went back in the kitchen and he cried .
Ses03F_script03_1_F002,3,i mean nobody knows we re here except for freda and she wouldn t ring up .
Ses01F_impro04_M029,2,you know you don t have to take out your frustration on me you know just because . . .
Ses04M_impro05_M006,2,and he told me to come to this desk here so i can uh at least get uh the hundred hundred and fifty dollars that that i m owed for my loss .
Ses05F_impro02_F006,3,iraq .
Ses01F_script03_1_M003,3, breathing 
Ses02F_impro02_F009,2,you can just remember it for me .
Ses04F_impro05_F006,0,because my bag was very easy to keep track of . it s got big you know rainbow colored crap all over it and no one was paying attention because now it s just gone .
Ses01F_impro05_M027,5,with the amount of 
Ses05F_impro08_F006,2,sir 
Ses03M_script01_3_M002,4,why ?
Ses05M_impro01_M009,2,well it was this girl standing right next to you . can we ask her why she didn t let me fill out the right form ?
Ses05F_script01_2_F007,2,she s . . . then why is she still single . new york is full of men why isn t she married ? probably a hundred people told her she s foolish but she s waited .
Ses01F_script03_1_M000,3,good god .
Ses02F_impro07_F003,1,yeah i think i mean because where else would i gonna go ? like the other places that i applied to i really didn t like that much anyway .
Ses01F_script02_1_M020,5,right .
Ses04F_script02_1_M006,4,whose is it ?
Ses03M_impro03_F001,1,what ?
Ses03F_script03_2_M011,5,i ll have a little i think .
Ses04M_script01_1_M010,2,i don t want to argue with him but it s time he realized that nobody believes larry s alive anymore .
Ses04M_script03_1_M000,3,good god .
Ses04F_impro07_F031,1,right . now you re with me .
Ses01F_script02_1_M029,5,there s like mystery here there s magic . it s like a little bit of the unexplainable . i just can t see how you re not interested .
Ses02F_script01_3_M021,2,yeah i suppose i have been . but it s going from me .
Ses03M_impro08b_F008,2,the symptoms this garbage a doctor s office . i m not receiving calls . . .i can t receive no it s it cuts me off 
Ses04M_impro05_M044,0,yeah . if you were really sorry you d give me the three checks .
Ses03F_impro04_F003,2,i have no money behind me . nothing . i m twenty five and 
Ses01M_impro06_F003,2,i m sorry to hear that .
Ses04M_impro08_F019,4,really ?
Ses04F_impro07_F061,1,student counsel ?
Ses02M_script03_1_M006,3,what do we do if they suddenly walk in on us ?
Ses05M_impro07_F044,1,all right . wow . so exciting .
Ses05M_impro07_M018,1,i just want to be really close to things you know . i know it s not exactly the best neighborhood in the entire world . but uh 
Ses01M_script03_1_M001,3,i wonder .
Ses01M_script02_2_M016,2,and figure out where we took a turn to the worst thing .
Ses03F_impro06_F009,2,we did everything together you know .
Ses01F_impro04_M015,5,no . you can or you can just bring it in person . but they need generally something to see you know what kind of what that you ve done what kind of 
Ses05M_impro03_F022,1,are they so excited ?
Ses01M_impro07_F005,1,that s amazing . they pay for everything ?
Ses01F_script02_2_F013,2,you don t understand anything i am saying .
Ses01M_impro01_M031,0,why because i m sick of talking to you .
Ses02F_impro02_F001,2,there s nothing i can do . i mean the government you know 
Ses02F_script03_1_F008,1,what s so horrible is that one can t stay happy .
Ses03M_script02_1_M039,1,it s single mindedness with no mind . it s urgency that s pure urge and they don t they don t ask it a question they don t give it a name they just swim .
Ses01F_script01_1_M002,5,four o clock this morning . i heard a crack and i woke up and looked out . he was standing right over there when it cracked .
Ses02F_script01_1_F019,0,what do you want me to do ? you re old enough to know your own mind .
Ses01M_impro07_M022,4,it s totally a sport . what are you talking about ?
Ses05F_impro03_M020,1,am i in it ?
Ses03M_impro06_F001,2,hanging in there ?
Ses01M_script03_1_F001,3,freda is the only one who knows we are here . she wouldn t ring up .
Ses01M_impro05_M031,0,thank you very much .
Ses02F_script02_2_M039,4,yeah ?
Ses01M_impro06_F000,5,you okay ?
Ses02M_script03_1_M006,3,what do we do if they suddenly walk in on us ?
Ses04F_script01_1_F011,0,what do you want to do argue with him ?
Ses03M_script03_2_M045,0,shut up . shut up . i would i would never marry you again if you came crawling back to me on your hands and knees because you re an evil minded little vampire and i hope to god i never see you again .
Ses02M_script02_2_F022,2,no .
Ses01M_impro04_M001,2,it s i ve been trying to find this job i can t get any job .
Ses03F_impro03_F019,1,but i don t know i it s so weird to think i m marrying somebody cause i feel so young you know ?
Ses01M_impro03_M007,1,fifty thousand dollars . fifty thousand dollars . i was just out . . . i just . . . she s well she s a friend of friend but like . . .
Ses02F_impro07_F002,1,yeah i m so excited . so i m gonna say 
Ses02M_script03_1_M000,3,good god .
Ses04F_impro03_M036,1,well this is really exciting . i mean i just i couldn t be happier right now .
Ses02M_impro07_F003,1,oh my gosh that s so cool .
Ses05F_script02_2_F015,1,and i remember thinking finally finally . i am as happy as i am supposed to be .
Ses03M_impro08a_F005,2,olivia .
Ses05F_impro03_M040,1,exactly .
Ses03F_impro02_M025,2,i don t want the money . i want you here
Ses03M_impro04_M018,2, they re evicting me from my apartment .
Ses01F_script03_1_M001,3,i wonder .
Ses01M_script03_2_F003,4,presents ? it was a trivial little broach .
Ses01F_script03_1_M000,3,good god .
Ses04F_impro03_F017,1,really ?
Ses05F_impro06_F023,2,really hard to imagine that like you re going to continue to live and that person s just going to have stopped .
Ses01M_impro01_F012,0,probably .
Ses01F_script02_2_M019,5,it s when we were driving past that knickerbocker liquor locker you said let s get some champagne . i said no time s a wasting or something like that .
Ses02F_script01_2_M008,5,how do you know why she s waited ?
Ses02M_impro08_M028,5,if you re ever online or anything like that i mean just make sure it s a secure site and
Ses04M_script03_1_F002,3,what are we to do ?
Ses05F_script01_1_F030,2,no i don t want a diagram but chris your father thinks larry s coming back .
Ses03M_script02_2_M024,2,do you want me to get some champagne ?
Ses04M_script03_1_M000,3,good god .
Ses02F_impro05_F007,2,yes yes i would like to file a claim but what are you gonna i mean is it just gonna show up magically out of nowhere ?
Ses01M_impro07_M022,4,it s totally a sport . what are you talking about ?
Ses04M_script01_1_M016,2,alright alright alright . listen . you know why i asked annie here don t you ?
Ses01M_script03_2_M039,0,that s very amusing indeed .
Ses01F_script01_3_M030,2,they didn t die they killed themselves for each other . i mean that exactly . just a little more selfish and they would all be here today .
Ses01M_script01_1_F002,4,how could he see it ? i was the first one up and he was still in bed .
Ses04F_impro01_M004,2,ma am i can t help you . do you understand ?
Ses03M_impro02_M035,2,what am i going to do ?
Ses05F_script01_1_F028,5,well i just don t see why it has to be annie .
Ses04M_impro03_F015,1,it s so exciting . what s the ring look like ?
Ses01F_script03_1_M036,1, laughter i ll never forget his face . laughter 
Ses02M_script03_1_M003,3,we re all right darling aren t we whatever happens ?
Ses03F_impro06_F008,2,i loved that boy .
Ses01F_impro03_M018,4,wow .
Ses02M_impro03_F028,1,yay well congratulations that s so cool . breathing i can t wait .
Ses05F_impro02_M035,2,i know .
Ses01M_script03_1_M003,3,we re okay right darling ? whatever happens we re okay ?
Ses05M_impro02_F016,3,oh my god .
Ses02F_script02_1_M004,1,is that no is that just foam ? i can t even tell .
Ses04F_script02_1_M039,1,where we stand for massive celebration of sex and death .
Ses05M_impro02_F012,5,what would be the worst that would happen if they found you somewhere else ?
Ses05M_script03_1_M002,3,must be them then ?
Ses05F_impro08_F026,5,no problem .
Ses03M_impro05b_F017,2,sir please calm down .
Ses02F_impro04_M011,5, . . . and there s no reason that that something won t come up like really soon . all right ? so you just gotta 
Ses04F_script01_3_M009,1,ann i love you . i love you a great deal . i love you .
Ses04M_impro08_F002,2,uh . yeah i just gave it to the automated thing like five times .
Ses04M_impro06_F002,2,i know i know there s nothing i can say that will really help but 
Ses03F_script01_3_M023,1,we re going to live now . i m going to make you so happy .
Ses02F_impro03_M020,1,yeah i d love to be in that same situation some day but wow so 
Ses03M_impro07_M025,1,it took them oh man it took them like i mean what it s like april now and any letters that come in april are usually the rejection letters so i was just like . . .
Ses05M_impro03_M007,1,you know we did some you know some rock climbing up the waterfalls and went up to this little pool that was up there . and then i it s great . um you have to climb this little rock 
Ses04M_script02_2_M011,2,we ll see them this year .
Ses04F_script03_1_M002,3,it must be them then .
Ses04F_script02_2_M042,4,yeah ?
Ses05M_impro07_M034,1,cheap is exactly what i need because i have no money at all .
Ses03F_impro04_F022,2,it s not funny . i just don t know what i m going to do .
Ses02F_script01_1_F030,2,i just don t see why it has to be annie .
Ses01M_script02_1_M039,5,come on trust me i got instincts for these things okay ? so just just think about it all right ? okay i know you re not interested think about it . . .
Ses01F_script01_1_M014,5,you know .
Ses02M_script03_1_M000,3,good god .
Ses03F_script01_3_F026,2,well then tell me what s wrong . i mean even in your letters there s something ashamed .
Ses01M_script01_1_F004,2,did you talk to him ?
Ses01F_impro04_M022,5,maybe get a car .
Ses05F_impro03_M008,1,oh my gosh .
Ses05M_impro02_F003,3,you didn t did you tell them you have two young children at home ?
Ses05F_impro03_M003,1,no way .
Ses05M_script03_1_M002,3,must be them then ?
Ses05M_script02_2_F029,2,but i just couldn t help thinking about being somewhere else .
Ses04M_impro04_M007,2,i you don t understand . i don t have a job . all my job is to look for a job . i don t do anything else .
Ses02M_impro08_F020,4,oh really ?
Ses04M_script01_2_F009,0,then why is she still single ? new york is full of men . why hasn t she married ? probably a hundred people told her she s foolish but she s waited .
Ses03F_script01_2_F015,0,don t don t laugh at me don t laugh at me .
Ses05M_impro05_M015,2,i should hope so . you know i need that today .
Ses02M_script03_2_M011,5,no particular reason . anyhow they are very small ones .
Ses03F_script02_1_M022,5,i mean don t you want to see it ?
Ses04M_impro06_M008,2, breathing i mean there s nothing really to talk about . he s gone and i ll never see him again .
Ses01F_script02_1_F010,2,i m cold .
Ses03M_impro04_M030,2,maybe i ll just kill myself .
Ses05M_script01_1b_F012,2,the trouble is the god damn newspapers i mean ea each week a new boy turns up out of nowhere . so the next one is gonna be larry . so you 
Ses01F_script03_1_F002,3,it had to happen sooner or later . what are we going to do ?
Ses02F_impro07_M000,5,so how s it going ?
Ses03F_script02_1_M001,1,look at the night we got couldn t be better .
Ses01F_script02_2_F037,4,don t be ridiculous . anything that anything i am doing i d rather be doing it with you .
Ses05M_script01_1_F013,2,to you it is and to me but not to him . now you can talk yourself until you re blue in the face chris but there s no body and there s no grave . so where are you ?
Ses05F_impro08_M027,5,three two three
Ses05M_impro08_M022,5,i completely understand .
Ses05M_script03_1_F000,3,do you think it s them ?
Ses05F_script03_2_F028,2,ugh .
Ses01F_script03_2_F025,0,you ve always had a weak head .
Ses04F_impro02_M003,2,i mean we both knew that this was going to happen . it s just that i feel that you know i don t want susie growing up without a mother .
Ses01M_impro07_M024,1,for free that s really what it s about . i mean who cares i mean if i have to play softball all the time ?
Ses05F_impro07_M030,1,exactly . mooching off of all like the college experiences that would ve been me but you have saved me from that disaster . thank you . thank you very much .
Ses01F_impro01_M004,2,this form is a z .x .four .
Ses02F_script01_1_M042,2,i know . i know mom . just help me stay here .
Ses04M_script01_3_M037,1,annie annie i m going to make you a fortune .
Ses01M_script01_1_M040,2,then help me stay .
Ses02F_script03_1_F002,3,what re we gonna do ?
Ses01F_script03_1_M002,3,it must be them then .
Ses04M_script03_1_F018,1,well that s serious enough isn t it ?
Ses05M_impro02_F015,3,are you gonna be like in tanks running around ? what i mean what does that mean ?
Ses01F_impro03_M002,4,shut up . no in vegas ?
Ses04M_script03_1_M001,3,i wonder .
Ses01F_impro01_M006,2,no . i need another set of id to prove this is actually you .
Ses01F_script01_2_F012,0,because if he s not coming back i ll kill myself . oh laugh laugh all you like but why does this happen the very night he comes back . she goes to sleep in his room and his memorial breaks in pieces . look at it joe look .
Ses03M_script01_1_F005,2,he cried hard ?
Ses01M_script02_2_M010,2,is not supposed to like anything . we come down here we look at the fish they arrive we go woo ah fish .
Ses05F_impro02_F006,3,iraq .
Ses02M_script03_2_M018,5,as a matter of fact that s perfectly true .
Ses01M_script03_1_M003,3,we re okay right darling ? whatever happens we re okay ?
Ses05M_impro02_F019,3,i mean i i know that you re a good soldier but not everybody else is . and what if
Ses01M_impro01_F000,0,next .
Ses04F_impro07_F062,1,no it s dorky .
Ses02M_script02_2_M037,2,maybe if you were with somebody else too .
Ses02M_impro01_F019,2,well if you had checked the web site it would have said .
Ses01F_script01_3_F007,5,i knew they would .
Ses03F_impro07_M014,1,party . you want to get drunk tonight ?
Ses01F_script03_1_M002,3,it must be them then .
Ses02F_script02_1_M020,5,that s my point too .
Ses02M_impro01_M002,5,get my new license .
Ses05M_impro02_F002,3,what ? no you can t !
Ses01F_script03_1_F000,3,is it them ?
Ses05M_impro05_F000,5,hmm . hmm .
Ses03F_script02_2_F005,0,augie goddamn it don t ask me that . you always ask me that . why do you ask me that ? i hate it . it s insulting .
Ses01F_impro06_F021,2,my best friend heather . she s got a we have a we built this like little there s a park prospect park . and there is like a garden section of it that we set up for her .
Ses01M_impro07_M022,4,it s totally a sport . what are you talking about ?
Ses05M_impro02_F017,3,but so many people have died .
Ses03M_script02_1_M003,1,is that is that nah is that just paul ? i can t even tell .
Ses05F_impro03_F005,1,just a couple days ago .
Ses03M_impro01_M021,2,how would you like that hmm ?
Ses05F_impro02_F025,2,i don t know . baby why are you asking me this ? it s just as hard for me . please try to understand that .
Ses01F_impro04_F030,0,you are so high and mighty . i just 
Ses01M_script02_2_M050,5,it s not champagne .
Ses04F_script01_2_F011,2,in my worst moments i think of her waiting and i know again that i m right .
Ses03F_impro06_M010,2,some people .
Ses01F_script03_1_M002,3,it must be them then .
Ses02F_script03_1_F002,3,what re we gonna do ?
Ses01M_script02_2_M001,1, . . .to this spot for this massive celebration of like sex and death . . .
Ses04F_script01_3_M004,0,what ?
Ses03M_impro04_F014,5,i am . . .just like a law clerk .
Ses05M_script01_1_F031,4,what the hell is this ?
Ses02M_script03_1_M006,3,what do we do if they suddenly walk in on us ?
Ses05F_impro05_M052,5,okay just fill out these three forms and um you ll we ll have that sent to you within the next three weeks and of course we ll definitely keep an eye out for your bag .
Ses05F_script02_1_F004,2,i mean you keep saying my flashlight as if it s somehow just yours . how s that suppose to make me feel ?
Ses04M_script01_1_F008,4,what ?
Ses01M_script01_2_M001,5,well uh he grew up next door to the girl why wouldn t he want to see her ?
Ses02F_impro06_F001,2,we knew that it was coming but 
Ses03M_impro01_F018,2,sir ? i m going to ask you one more time and then i m going to call my supervisor
Ses03F_script03_1_M022,1,remember that awful scene we had in venice ?
Ses03M_script01_1_M026,2,my whole entire bloody life time and time again .
Ses05F_script01_1_M017,2,you know .
Ses04F_script02_2_F025,5,no .
Ses05M_impro02_F016,3,oh my god .
Ses01M_impro07_M020,5,yeah well i doubt garbage ping pong garbage 
Ses04M_impro08_M008,5,so you re saying that you didn t make these calls .
Ses04F_impro04_M013,5,i mean well i mean i don t know it doesn t really affect my life you know .
Ses01M_script03_1_F002,3,what we re going to do ?
Ses04F_script01_1_M026,2,i wanted to get this settled first .
Ses02M_script02_2_M016,5, the grunion are running tonight i said great let s go i feel lucky 
Ses02M_impro01_F015,5,i m sorry sir .
Ses05M_impro02_F002,3,what ? no you can t !
Ses04F_script03_1_M002,3,it must be them then .
Ses04M_script01_2_F002,0,she s been in new york three and a half years . why all of a sudden 
Ses03F_script02_1_M030,4,for real ?
Ses05F_impro04_M030,5,putting your best foot forward ? or you
Ses02M_impro04_M017,2,seems like the only option at this point because obviously the outer world has just rejected me of all possible employment .
Ses02F_script03_1_F002,3,what re we gonna do ?
Ses01M_impro03_F006,1,that s so cool . uh huh .
Ses02F_script01_3_M028,2,they didn t die they killed themselves for each other . i mean that exactly . a little more selfish and they d have been here today .
Ses04F_script01_1_F042,0,but don t think that way . you hear me ?
Ses04M_script03_2_M040,0,very good idea . i will
Ses04M_script01_2_F016,0,believe with me joe . i can t stand all alone
Ses02M_impro01_F000,5,hi how can i help you ?
Ses05M_impro06_F003,2,oh my gosh .
Ses02F_script02_2_M011,2,i thought you wanted to see it .
Ses03M_impro05b_F007,5,well sir if if . . .what i believe has happened is most of the flight was left 
Ses04M_impro08_F025,4,really ?
Ses05M_impro07_F038,5,totally .
Ses01M_script01_1_F041,0,well you don t think like that .
Ses03F_script02_2_F030,2,no .
Ses03F_script03_1_F021,1,oh charles . that was his name . charles . he did wiggle so beautifully .
Ses05M_impro02_F016,3,oh my god .
Ses03F_impro08_F026,5,sir 
Ses02F_impro02_M009,2,i mean you just get to go off and do your thing . i mean yeah we re both i don t know it s bad for both of us but 
Ses03F_script01_3_M010,1,oh annie .
Ses03F_script03_2_M027,0,i imagine that you let him kiss you quite a bit more then didn t you ?
Ses02M_script02_2_F010,2,no we won t it s pointless . it s like waiting up to see santa claus 
Ses01F_script03_1_F001,3,freda is the only one who knows we are here . she wouldn t ring up .
Ses01M_script01_1_M010,2,i just why shouldn t he walk the nights waiting for him huh ? do we contradict him do we say we don t have any hope any more that he s not coming back ?
Ses02M_impro08_F020,4,oh really ?
Ses05M_impro04_M025,2,right probably not selling pot . i don t want to go to jail .
Ses05M_script01_2_M003,5,why do you think he s even thinking that ?
Ses02M_script02_2_M006,2,well what s bugging you ?
Ses01F_script03_2_M009,2,so am i . i m bored stiff . garbage do you want some brandy ?
Ses05M_impro08_F021,4,wow . that would be amazing . really ?
Ses02F_impro08_F002,5,i completely understand . automated systems are very difficult sometimes .
Ses03F_script01_1_M050,5,okay . just 
Ses04M_impro02_F009,2,you won t even know your child when you come back . this isn t there someone you could talk to ?
Ses02F_script03_1_F009,1,it s true . the whole business is a very poor joke .
Ses03F_script03_2_F021,2,adders don t snap they sting .
Ses01M_script01_1_F002,4,how could he see it ? i was the first one up and he was still in bed .
Ses02M_impro08_F018,3,so is there any i mean what if they spend something again ?
Ses03F_impro02_M018,2,i don t know if i can handle you going another year .
Ses02M_script02_1_M030,4,for real ?
Ses01F_script01_1_M041,2,i know that . then just help me stay here .
Ses02M_script03_1_M024,1,you remember that awful scene we had in venice ?
Ses02M_impro01_M006,2,okay so what are you saying ? what 
Ses04F_impro06_M006,5,you know you don t you know how long do you want the person to go through that you know .
Ses02F_impro05_F002,4,some problems ? what is that supposed to mean ?
Ses02F_script03_2_M028,2,as i mentioned before i have had three minute liquor glasses of brandy the whole evening long . a child of two couldn t get drunk on that .
Ses05F_script03_1_M027,1,how long did that row last ?
Ses02M_impro08_M005,5,i know they don t tell you that kind of thing .
Ses01M_impro06_M003,2, breathing umm .
Ses01M_impro03_F012,1,like make her rent the apartment that you two have to live together in you know . and you won t pay any rent or you pay like a hundred bucks a month or something .
Ses01F_script02_2_M007,2,well then what s bugging you ?
Ses05M_script01_3_M038,2,you can take those things out of the war but if you re gonna drive that car you ve got to know that that came from the love a man can have from a man . and you ve got to be a little bit better because of that . because if you re not then it s all just loot and there s blood on it and i didn t want any of it .
Ses03M_impro05a_F007,5,you re at me and i m going to try to help you out sir but you just have to cooperate with me 
Ses04M_impro04_M003,2,local business in in the area and i can t i can t get anything . like nobody 
Ses05M_script01_3_M040,2,i want you now annie .
Ses04F_impro04_F029,2,i did start somewhere . i worked my way up . i m not going to start at the bottom again .
Ses01M_impro05_M020,0,probably people that work for your company huh ?
Ses01M_script01_1_F002,4,how could he see it ? i was the first one up and he was still in bed .
Ses04F_impro05_F016,0,i want to talk to your supervisor .
Ses01F_script01_3_F031,5,mmhmm .
Ses01F_script02_1_M030,4,for real ?
Ses01M_impro02_M025,2,i love you .
Ses01M_script03_2_F035,0,very well if you insist on being boorish and idiotic .
Ses05F_impro03_M002,4,shut up .
Ses05M_script03_1_M020,1,yes yes with all his might .
Ses03M_impro04_M025,2,i m not cut to be a receptionist .
Ses01F_impro05_F018,0,do you understand who my husband is ?
Ses02F_script03_1_F001,3,well nobody know we re here except freda and she wouldn t ring up .
Ses05F_script02_1_M012,1,you want my jacket ?
Ses01F_script01_1_F021,2,from your father s point of view he is not dead and chris he still thinks he s still alive . the girl is larry s girl .
Ses01M_script01_1_F001,4,when ?
Ses05M_impro02_F016,3,oh my god .
Ses03M_impro04_M011,2,i don t want to do engineering though . it s so . . .i had the internship what last summer 
Ses05F_impro03_M002,4,shut up .
Ses01M_script03_1_F021,1,if one of us dies . . .
Ses01M_impro03_F020,1,yeah at night .
Ses04F_script01_1_F025,5,you re a considerate fellow . there s nothing wrong in that .
Ses05F_script02_2_F005,0,god damn it augie . why do you always ask things like that ? it s so insulting .
Ses01F_script03_1_F002,3,it had to happen sooner or later . what are we going to do ?
Ses04F_impro02_F023,2,i want you to be okay with it as much as you can be . i mean it s not a great situation but we don t have an option here .
Ses02M_impro07_F017,1,like you get to be a part of that . like the like the like a cult .
Ses04F_script01_3_F013,1,every day since .
Ses02F_impro06_M019,5,it s hard to lose someone that way but he s he s better he s better off now .
Ses04F_script02_1_F015,2,oh augie .
Ses02F_script03_1_M032,1,oh i ll never forget his face .
Ses01M_script03_2_F003,4,presents ? it was a trivial little broach .
Ses01F_script03_1_M001,3,i wonder .
